FILTER	Name	CentreWave   BandWidth	ZeroPoint	ZPErr	UnitConv	UCErr
F1	F148W	1481		500	18.003		0.01	 3.127		0.029
F2	F154W	1541		380	17.765		0.01	 3.593		0.040
F3	F169M	1608		290	17.453		0.01	 4.402		0.037
F5	F172M	1717		125	16.341		0.02	10.710		0.160
F7	F148Wa	1485		500	18.008		0.01	 3.288		0.025		
N1	N242W	2418		785	19.810		0.002	 0.222		0.00065
N2	N219M	2196		270	16.590		0.02	 5.250		0.082
N3	N245M	2447		280	18.500		0.07	 0.725		0.0036	
N5	N263M	2632		275	18.180		0.01	 0.844		0.0096
N6	N279N	2792		 90	16.500		0.01	 3.500		0.035	
V1	V461W	4614	       1300	INDEF		INDEF	 INDEF		INDEF
V2	V391M	3909		400	INDEF		INDEF	 INDEF		INDEF
V3	V347M	3466		400	INDEF		INDEF	 INDEF		INDEF
V4	V435ND	4354	       2200	INDEF		INDEF	 INDEF		INDEF
V5	V420W	4200	       2200	INDEF		INDEF	 INDEF		INDEF
